Booking_ID,Passenger_ID,Booking_Date_Raw,Booking_Channel,Airline,Flight_Number,Route,Cabin_Class,Passenger_Age,Frequent_Flyer_Tier,Base_Ticket_Price,Seat_Selection_Fee,Baggage_Fee,Meal_Fee,Lounge_Access_Fee,Trip_Type,Payment_Method,Is_Cancelled,Checked_Bags_Count,Inflight_Wifi_Purchased,Special_Meal_Requested,Seat_Location_Pref,Booking_Lead_Time_Days,Delay_Duration_Minutes,Customer_Rating,Distance_Miles,Loyalty_Points_Earned,Discount_Code_Applied,Travel_Insurance_Opted,Checkin_Method,Security_Wait_Time_Min,Gate_Change_Occurred,Survey_Completed
BK-10012,PAX-50658,2026-06-11,web_portal,Oceanic Air,FL-853,LAX-TYO,Economy,,,$177.50,$26.04,$45.78,$56.10,$0.00,One-Way,Crypto,0,1,0,Gluten-Free,Middle,12,0,4.0,3400,3656,0,1,Online,18.2735529868203,0,1
BK-10013,PAX-50189,2026-02-28,WEB_PORTAL,Global Connect,FL-984,CDG-JFK,Economy,51.0,,$145.61,$72.43,$59.77,$0.00,$0.00,Round-Trip,Apple Pay,0,1,1,Gluten-Free,Aisle,21,0,4.0,3400,4742,0,1,Kiosk,14.214047220756315,0,0
BK-10014,PAX-50704, 2026-01-09 ,Agency_API,AeroFly,FL-865,LAX-TYO,Business,,Gold,"$1,225.51",$19.46,$0.00,$0.00, 98.44 ,Round-Trip,Credit Card,0,2,0,None,Window,45,0,3.0,3400,4195,1,0,Kiosk,23.444968610503533,0,0
BK-10015,PAX-50532,19/01/2026,WEB_PORTAL,Global Connect,FL-901,LAX-TYO,First Class,37.0,,"$1,200.27",$0.00,$40.01,$42.42,$86.01,Round-Trip,Crypto,1,1,0,Gluten-Free,Window,15,27,5.0,3400,3952,0,0,Kiosk,18.2153672986062,0,1
BK-10016,PAX-50132,"Mar 13, 2026",Agency_API,AeroFly,FL-265,LAX-TYO,Economy,74.0,Platinum,$194.12,$0.00,$83.66,$0.00,$0.00,Round-Trip,Apple Pay,0,0,0,None,Aisle,29,0,4.0,5456,1414,0,1,Kiosk,29.190019403984845,0,1
BK-10017,PAX-50130,24/02/2026,web_portal,AeroFly,FL-620,SIN-SYD,Premium Economy,,Gold, 495.44 ,$0.00,$0.00,$62.99,$0.00,Multi-City,Crypto,0,3,1,None,Middle,59,0,3.0,3915,1808,0,0,Online,22.922894629627354,0,0
BK-10018,PAX-50195,"May 27, 2026",WEB_PORTAL,SkyWays,FL-446,CDG-JFK,Economy,25.0,,$191.83,$19.08,$30.15,$40.63,$0.00,Round-Trip,PayPal,0,0,1,Gluten-Free,Window,89,1,5.0,5456,4677,0,0,Online,24.62228321634359,0,1
BK-10019,PAX-50323,"Mar 04, 2026",web_portal,SkyWays,FL-728,DXB-LHR,Premium Economy,45.0,,$496.91,$0.00,$0.00,$33.90,$0.00,Round-Trip,Crypto,0,1,0,None,Window,4,0,4.0,3915,1013,1,0,Kiosk,18.795396407788715,1,1
BK-10020,PAX-50338,15/04/2026,WEB_PORTAL,AeroFly,FL-823,JFK-LHR,Economy,28.0,,$155.88,$18.63,$0.00,$0.00,$0.00,One-Way,Crypto,0,0,0,Halal,Window,78,38,4.0,3635,2420,0,0,Online,18.944169007741777,0,1
BK-10021,PAX-50617,2026-01-25,web_portal,AeroFly,FL-498,JFK-LHR,Economy,55.0,,$174.33,$69.77,$0.00,$0.00,$0.00,Round-Trip,PayPal,0,1,0,Vegan,Middle,20,0,4.0,5456,4094,0,0,Online,28.38792347945506,0,0
BK-10022,PAX-50716,"Jun 18, 2026",web_portal,AeroFly,FL-105,DXB-LHR,Economy,,Platinum,$141.82,$0.00,$40.74,$0.00,$60.76,Multi-City,PayPal,0,1,0,None,Window,8,30,5.0,3400,1909,0,1,Online,15.730242698777824,0,1
BK-10023,PAX-50127,"Apr 01, 2026",web_portal,SkyWays,FL-943,CDG-JFK,Premium Economy,18.0,,$472.73, 39.68 ,$0.00,$62.13,$0.00,Round-Trip,Credit Card,0,1,1,Vegan,Window,18,0,5.0,3635,3690,1,0,Kiosk,21.280676124991437,0,1
BK-10024,PAX-50674,"Apr 16, 2026",WEB_PORTAL,Global Connect,FL-714,LAX-TYO,Economy,55.0,Silver,$158.13,$47.14,$72.84,$0.00,$0.00,Round-Trip,Apple Pay,0,1,0,None,Aisle,117,0,4.0,5456,4991,0,1,Counter,16.402574807031254,0,0
BK-10025,PAX-50303,2026-01-14,mobile_app,Global Connect,FL-165,JFK-LHR,First Class,48.0,Silver,"$1,238.44",$56.87,$0.00,$19.42,$92.62,Round-Trip,PayPal,0,0,1,None,Window,20,10,1.0,3400,2055,0,1,Kiosk,16.388183649676183,0,1
BK-10026,PAX-50833,"Jan 16, 2026",WEB_PORTAL,Oceanic Air,FL-479,JFK-LHR,Premium Economy,27.0,Gold,$467.21,$25.76,$0.00,$53.60,$0.00,Round-Trip,Crypto,0,6,0,Vegan,Aisle,11,0,3.0,3451,1304,0,0,Counter,10.986622405549682,0,1
BK-10027,PAX-50765,2026-03-28,WEB_PORTAL,AeroFly,FL-138,SIN-SYD,Business,23.0,,"$1,199.48",$29.46,$49.20,$0.00,$67.79,Round-Trip,Apple Pay,0,0,1,None,Middle,30,0,1.0,3635,1779,0,0,Counter,13.544913894858356,0,1
BK-10028,PAX-50818,05/03/2026, Mobile_App ,AeroFly,FL-510,DXB-LHR,Economy,49.0,Silver,$167.87,$0.00,$37.16,$0.00,$0.00,One-Way,Apple Pay,0,0,0,None,Aisle,8,0,5.0,5456,4077,0,1,Counter,12.430383291501297,0,0
BK-10029,PAX-50658,"Feb 18, 2026",web_portal,Global Connect,FL-633,CDG-JFK,Economy,,Platinum,$148.62,$62.70,$0.00,$0.00,$0.00,One-Way,Apple Pay,0,1,0,None,Window,2,0,5.0,3915,3401,0,0,Kiosk,21.566212853539017,0,1
BK-10030,PAX-50529,"Feb 05, 2026",WEB_PORTAL,Oceanic Air,FL-711,DXB-LHR,Premium Economy,66.0,Platinum,$459.16,$42.54,$0.00,$0.00,$0.00,Round-Trip,Credit Card,0,0,1,None,Aisle,4,0,2.0,5456,1887,0,1,Kiosk,24.241235569341974,1,1
BK-10031,PAX-50325, 2026-02-16 ,WEB_PORTAL,SkyWays,FL-892,SIN-SYD,Economy,21.0,,$160.72,$33.00,$32.76,$0.00,$0.00,Round-Trip,PayPal,0,1,1,None,Window,4,13,4.0,3915,3261,0,0,Kiosk,17.431479758529584,0,1
BK-10032,PAX-50559,29/04/2026,web_portal,SkyWays,FL-755,SIN-SYD,Premium Economy,27.0,Gold,$485.64,$0.00,$81.96,$29.28,$0.00,Multi-City,Apple Pay,0,0,1,None,Window,4,0,,3635,3179,0,1,Kiosk,19.37776758098192,1,1
BK-10033,PAX-50703,"Jan 20, 2026",WEB_PORTAL,Global Connect,FL-110,DXB-LHR,Economy,68.0,Silver,$146.37, 53.99 ,$0.00,$64.69,$0.00,One-Way,Credit Card,0,1,0,None,Aisle,4,0,3.0,3400,2606,0,1,Kiosk,17.08517186936942,0,1
BK-10034,PAX-50384,2026-05-21,Agency_API,AeroFly,FL-772,SIN-SYD,Economy,,,$147.35,$37.63,$0.00,$0.00,$0.00,Round-Trip,Apple Pay,0,1,0,Vegan,Middle,30,0,2.0,3400,4723,0,0,Online,13.13534448064209,0,1
BK-10035,PAX-50928,2026-01-13,WEB_PORTAL,SkyWays,FL-630,JFK-LHR,Economy,38.0,,$148.45,$57.17,$52.14,$46.18, 96.16 ,Round-Trip,Apple Pay,0,2,0,None,Aisle,6,0,5.0,3915,3268,0,1,Counter,23.173578148781274,0,1
BK-10036,PAX-50990,24/01/2026, Mobile_App ,Oceanic Air,FL-134,LAX-TYO,First Class,68.0,Silver,"$1,246.72",$53.69,$74.37,$0.00, 98.01 ,Round-Trip,Crypto,0,0,0,None,Middle,12,0,4.0,3400,4453,0,1,Kiosk,21.915208162556876,0,1
BK-10037,PAX-50106,"Feb 12, 2026",web_portal,Oceanic Air,FL-622,LAX-TYO,Premium Economy,40.0,Gold,$465.09,$73.43,$0.00,$26.51,$65.68,Round-Trip,Credit Card,0,4,0,None,Aisle,68,0,4.0,3451,3686,1,0,Kiosk,6.644724088176218,0,1
BK-10038,PAX-50877,"May 05, 2026",WEB_PORTAL,AeroFly,FL-337,JFK-LHR,Premium Economy,46.0,,$494.14,$28.79,$89.87,$0.00,$104.30,Round-Trip,Credit Card,1,1,0,None,Aisle,19,0,5.0,3400,3780,0,0,Online,16.30134599258848,0,0
BK-10039,PAX-50925,"Feb 24, 2026",web_portal,Global Connect,FL-790,DXB-LHR,Economy,19.0,Silver,$196.03,$49.01,$62.79,$38.49,$0.00,One-Way,Credit Card,0,2,0,None,Window,33,0,2.0,3915,3073,0,1,Kiosk,12.707835952755431,1,0
BK-10040,PAX-50263,16/01/2026,Agency_API,Global Connect,,JFK-LHR,Economy,40.0,Silver,$151.39,$56.07,$0.00,$0.00,$0.00,Round-Trip,PayPal,0,0,0,None,Aisle,5,0,4.0,5456,3099,0,1,Online,15.65436858200865,0,1
BK-10041,PAX-50814,2026-04-08,web_portal,SkyWays,FL-100,DXB-LHR,Economy,34.0,,$199.76,$54.49,$31.43,$48.51,$0.00,One-Way,Credit Card,0,1,1,None,Aisle,6,0,5.0,3915,4533,0,0,Counter,13.977410597722443,0,1
BK-10042,PAX-50532, 2026-04-10 ,WEB_PORTAL,SkyWays,FL-188,SIN-SYD,Economy,49.0,Gold,$192.74,$15.94, 71.61 ,$61.82,$0.00,Round-Trip,PayPal,0,3,0,None,Window,1,0,4.0,3451,736,1,1,Counter,17.7214777755516,0,0
BK-10043,PAX-50448, 2026-04-27 ,web_portal,SkyWays,FL-898,LAX-TYO,Economy,53.0,Gold,$145.40,$0.00,$0.00,$18.34,$0.00,One-Way,Credit Card,0,0,1,None,Middle,5,0,4.0,3915,1804,0,0,Kiosk,16.020511589199156,0,0
BK-10044,PAX-50384,"Apr 19, 2026",mobile_app,Oceanic Air,FL-785,DXB-LHR,Economy,62.0,Gold,$167.43,$64.25,$52.58,$30.23,$0.00,Round-Trip,Credit Card,1,3,0,Gluten-Free,Window,9,0,3.0,3400,3930,0,0,Kiosk,15.893155837074966,0,1
BK-10045,PAX-50259,09/02/2026,WEB_PORTAL,Global Connect,FL-700,JFK-LHR,Economy,54.0,Gold, 175.0 ,$0.00,$0.00,$0.00,$98.22,Round-Trip,Credit Card,0,1,0,None,Window,5,7,4.0,3400,1801,0,0,Counter,24.64433057003228,0,1
BK-10046,PAX-50320,17/03/2026,web_portal,AeroFly,FL-115,LAX-TYO,Economy,40.0,Silver,$156.88,$49.00,$0.00,$32.83,$0.00,One-Way,Crypto,0,1,1,None,Window,2,0,4.0,3915,3041,0,1,Counter,21.343071964015493,0,1
BK-10047,PAX-50881,2026-01-15,WEB_PORTAL,SkyWays,FL-170,LAX-TYO,Economy,47.0,Gold,$190.57,$47.43,$55.19,$0.00,$105.90,One-Way,Apple Pay,0,0,0,None,Aisle,3,0,4.0,5456,2551,0,0,Kiosk,13.776632098197398,1,1
BK-10048,PAX-50444,2026-03-22,web_portal,AeroFly,FL-662,DXB-LHR,Economy,71.0,Gold, 157.14 ,$62.43,$38.54,$39.82,$0.00,Round-Trip,Crypto,0,0,1,None,Aisle,18,0,4.0,5456,941,0,1,Counter,14.666719603119475,0,1
BK-10049,PAX-50204,"Jan 13, 2026",web_portal,AeroFly,FL-949,DXB-LHR,Premium Economy,73.0,Platinum,$446.45,$0.00,$0.00,$0.00,$0.00,Round-Trip,Crypto,0,1,1,None,Window,6,0,5.0,3635,2576,0,0,Counter,20.950758332397676,0,1
BK-10050,PAX-50194,09/05/2026,Agency_API,AeroFly,FL-696,CDG-JFK,Economy,22.0,Platinum,$155.87,$35.75,$0.00,$0.00,$0.00,One-Way,Apple Pay,0,2,0,None,Window,13,6,5.0,3400,3680,0,1,Online,20.942517430216597,0,1
BK-10051,PAX-50489,2026-01-15,web_portal,AeroFly,FL-935,CDG-JFK,Economy,46.0,Platinum, 164.2 ,$0.00,$54.78,$0.00,$0.00,Round-Trip,Apple Pay,0,2,1,Vegan,Middle,21,0,1.0,3400,3157,0,0,Online,14.377318565627586,1,1
BK-10052,PAX-50199,2026-02-17,Agency_API,Oceanic Air,FL-720,CDG-JFK,Premium Economy,34.0,Platinum,$443.07,$0.00,$74.87,$36.79,$0.00,Round-Trip,Credit Card,0,0,0,Vegan,Window,35,0,3.0,3451,4298,0,1,Counter,16.596055998587012,0,1
BK-10053,PAX-50467,2026-06-02,mobile_app,Oceanic Air,FL-565,DXB-LHR,Economy,47.0,,$161.75,$51.83,$68.23,$14.05,$0.00,Round-Trip,Crypto,0,0,1,Vegan,Aisle,1,0,4.0,3635,1304,0,1,Kiosk,29.08083624052181,0,1
BK-10054,PAX-50967,22/06/2026,Agency_API,Oceanic Air,FL-688,CDG-JFK,Premium Economy,,Silver,$463.18,$34.58,$33.74,$0.00,$0.00,Round-Trip,Credit Card,0,0,0,None,Window,48,24,5.0,3400,574,0,1,Counter,14.480711468871942,1,1
BK-10055,PAX-50452,2026-04-14, Mobile_App ,Oceanic Air,,CDG-JFK,Economy,42.0,Silver,$172.99,$42.03,$0.00,$58.57,$0.00,Round-Trip,Apple Pay,0,5,0,None,Window,29,0,5.0,5456,2675,1,0,Counter,29.46482753075271,0,1
BK-10056,PAX-50718,26/05/2026,Agency_API,SkyWays,FL-618,CDG-JFK,Economy,74.0,Gold,$177.39,$37.53,$0.00,$0.00,$64.38,Round-Trip,Crypto,0,4,0,None,Window,2,0,4.0,5456,4424,0,0,Kiosk,24.62200165515483,0,1
BK-10057,PAX-50370,2026-05-29,web_portal,SkyWays,FL-174,JFK-LHR,Economy,,Silver,$147.72,$37.80,$85.56,$15.82,$0.00,Round-Trip,Apple Pay,0,0,0,None,Window,62,0,3.0,3451,2589,0,1,Online,28.352497650332793,0,1
BK-10058,PAX-50926,2026-06-08,WEB_PORTAL,Oceanic Air,FL-448,LAX-TYO,Premium Economy,67.0,Platinum,$462.39,$0.00,$49.58,$0.00,$0.00,Multi-City,Crypto,0,0,1,None,Window,76,0,4.0,3451,540,0,0,Kiosk,14.225568167583427,1,1
BK-10059,PAX-50144, 2026-04-18 ,Agency_API,SkyWays,FL-922,CDG-JFK,Economy,38.0,Silver,$173.47,$0.00,$0.00,$23.80,$0.00,One-Way,Crypto,0,2,0,Halal,Window,1,6,5.0,3400,2581,0,1,Counter,16.988664755623432,0,1
BK-10060,PAX-50847,08/03/2026,WEB_PORTAL,Global Connect,FL-363,SIN-SYD,Premium Economy,60.0,,$448.66,$0.00,$38.17,$0.00,$0.00,One-Way,Apple Pay,1,0,1,None,Window,9,0,4.0,5456,2122,0,0,Online,15.305017147346623,0,1
BK-10061,PAX-50570, 2026-06-21 ,mobile_app,Oceanic Air,FL-932,LAX-TYO,Business,70.0,Gold, 1214.08 ,$0.00,$0.00,$0.00,$93.04,Round-Trip,PayPal,0,1,1,Gluten-Free,Aisle,49,0,4.0,3400,841,1,0,Kiosk,24.76051915155722,0,1
BK-10062,PAX-50649, 2026-03-03 ,mobile_app,SkyWays,FL-356,JFK-LHR,Economy,51.0,Gold,$142.33,$62.03,$0.00,$39.58,$0.00,Round-Trip,PayPal,0,0,0,None,Window,41,0,5.0,3635,4552,1,1,Counter,14.593897363967463,0,1
BK-10063,PAX-50227,12/04/2026,web_portal,SkyWays,FL-486,JFK-LHR,Economy,67.0,Gold,$188.24,$36.64,$48.84,$51.79,$0.00,Round-Trip,Crypto,0,0,0,None,Window,6,7,5.0,3915,2574,0,0,Counter,22.38729296005724,0,1
BK-10064,PAX-50487, 2026-06-21 ,web_portal,AeroFly,FL-888,CDG-JFK,Economy,57.0,,$148.94,$41.68,$0.00,$0.00,$0.00,Round-Trip,Apple Pay,0,2,1,Gluten-Free,Window,7,11,4.0,5456,1145,0,0,Online,22.069796467152244,0,0
BK-10065,PAX-50180, 2026-04-28 ,web_portal,Oceanic Air,FL-447,JFK-LHR,Economy,44.0,Platinum,$148.39,$0.00,$57.12,$0.00,$0.00,Round-Trip,Crypto,1,2,0,None,Window,13,37,3.0,3635,4763,0,0,Counter,17.71182281571494,1,1
BK-10066,PAX-50665,2026-01-19,Agency_API,AeroFly,FL-569,CDG-JFK,Business,25.0,Silver,"$1,209.11",$0.00,$35.43,$0.00, 112.44 ,Round-Trip,PayPal,0,2,1,None,Aisle,19,6,4.0,5456,1109,0,0,Kiosk,25.791958404986012,0,1
BK-10067,PAX-50400,2026-04-28, Mobile_App ,AeroFly,FL-700,SIN-SYD,First Class,,Platinum,"$1,226.99",$48.42,$0.00,$0.00,$107.49,One-Way,PayPal,0,1,1,None,Aisle,28,6,1.0,5456,954,0,0,Counter,18.64607921835963,0,1
BK-10068,PAX-50949,19/01/2026, Mobile_App ,Oceanic Air,FL-593,JFK-LHR,Economy,20.0,Platinum,$175.62,$0.00,$66.20,$0.00,$89.36,Round-Trip,Crypto,0,0,0,None,Window,13,0,4.0,3635,3453,1,0,Kiosk,23.004514311649817,0,1
BK-10069,PAX-50743, 2026-05-10 , Mobile_App ,Global Connect,FL-169,DXB-LHR,First Class,26.0,Silver,"$1,220.58",$0.00,$38.90,$48.84,$87.85,One-Way,Crypto,0,0,0,None,Window,18,20,5.0,3400,2208,0,1,Kiosk,15.031779786493304,0,1
BK-10070,PAX-50733, 2026-02-03 ,web_portal,AeroFly,FL-907,LAX-TYO,Premium Economy,20.0,Platinum,$473.78,$50.82, 53.77 ,$50.41,$0.00,Multi-City,PayPal,0,2,0,None,Window,41,0,5.0,5456,3972,0,1,Counter,13.659379115359048,0,1
BK-10071,PAX-50982,18/01/2026,mobile_app,SkyWays,FL-793,DXB-LHR,Economy,49.0,Gold,$141.00,$15.74,$0.00,$0.00,$0.00,Round-Trip,Credit Card,0,0,0,Halal,Aisle,1,0,3.0,3915,3469,1,0,Kiosk,22.38687317554565,0,1
BK-10072,PAX-50470, 2026-04-05 ,Agency_API,SkyWays,FL-919,JFK-LHR,Economy,20.0,Gold,$146.58,$58.49,$40.43,$0.00,$0.00,Round-Trip,Credit Card,0,1,0,None,Aisle,8,9,,5456,3528,0,1,Online,20.58504146600249,0,1
BK-10073,PAX-50691,"Feb 10, 2026",Agency_API,SkyWays,FL-461,LAX-TYO,First Class,71.0,,"$1,208.46",$29.56,$63.36,$18.58,$67.70,Round-Trip,Crypto,0,0,0,Vegan,Window,37,3,3.0,3400,3181,1,1,Kiosk,19.459845984770194,0,1
BK-10074,PAX-50296, 2026-05-20 , Mobile_App ,AeroFly,FL-109,LAX-TYO,Business,49.0,Platinum,"$1,242.33",$25.17,$0.00,$0.00,$106.09,Round-Trip,PayPal,0,2,1,None,Aisle,67,9,2.0,3400,4129,1,0,Counter,15.937869912373298,0,1
BK-10075,PAX-50821,2026-06-06, Mobile_App ,Global Connect,FL-369,SIN-SYD,Economy,62.0,Gold,$175.81,$0.00,$0.00,$0.00,$0.00,Round-Trip,PayPal,0,2,1,None,Aisle,21,0,4.0,3451,4725,1,0,Online,27.295256859157824,0,1
BK-10076,PAX-50171, 2026-06-20 ,web_portal,Oceanic Air,FL-195,DXB-LHR,Economy,21.0,,$179.34,$0.00,$37.29,$23.37,$0.00,Round-Trip,Credit Card,0,1,0,Vegan,Aisle,22,2,4.0,3635,3567,1,0,Online,11.300485174476918,0,0
BK-10077,PAX-50146,2026-06-19,WEB_PORTAL,AeroFly,FL-866,SIN-SYD,Economy,56.0,,$174.71,$0.00,$43.34,$0.00,$0.00,One-Way,Crypto,0,2,1,None,Window,3,0,5.0,3635,1886,1,1,Counter,10.971941941614167,0,0
BK-10078,PAX-50777, 2026-02-04 ,web_portal,SkyWays,FL-177,JFK-LHR,Economy,18.0,Platinum,$143.08,$0.00,$71.18,$32.36,$0.00,Multi-City,PayPal,0,0,0,None,Middle,17,2,3.0,3451,4276,0,0,Kiosk,23.652999030982976,0,1
BK-10079,PAX-50333,2026-01-30,mobile_app,SkyWays,FL-282,CDG-JFK,Premium Economy,31.0,Platinum,$471.45,$0.00,$0.00,$31.02,$0.00,One-Way,PayPal,1,1,0,None,Window,22,10,1.0,3400,3366,0,1,Kiosk,23.16057830485842,0,1
BK-10080,PAX-50891,22/05/2026,web_portal,SkyWays,FL-462,JFK-LHR,Economy,74.0,Silver,$186.48,$36.67,$85.05,$0.00,$0.00,One-Way,PayPal,0,0,0,None,Window,8,0,5.0,3915,3863,1,0,Online,20.122576673951208,0,1
BK-10081,PAX-50396, 2026-03-11 ,mobile_app,Global Connect,FL-687,JFK-LHR,Business,47.0,,"$1,239.30",$44.75,$41.87,$34.41,$58.26,Round-Trip,Crypto,0,0,0,None,Window,9,8,4.0,3635,4624,0,0,Kiosk,16.272286668583163,0,1
BK-10082,PAX-50181,04/06/2026, Mobile_App ,Global Connect,FL-864,DXB-LHR,Economy,21.0,Gold,$174.35, 23.13 ,$35.52,$0.00,$0.00,Round-Trip,Apple Pay,0,2,1,None,Window,14,0,3.0,3400,648,0,0,Counter,21.014532775142474,0,1
BK-10083,PAX-50975,29/03/2026, Mobile_App ,SkyWays,FL-294,DXB-LHR,Economy,65.0,,$151.45,$65.50,$37.35, 53.72 ,$0.00,One-Way,Credit Card,0,1,1,None,Window,0,36,5.0,3915,4350,0,0,Counter,28.324981782717202,0,1
BK-10084,PAX-50338, 2026-06-25 ,WEB_PORTAL,AeroFly,FL-304,CDG-JFK,Business,44.0,Platinum,"$1,215.13",$41.41,$0.00,$0.00,$93.68,Round-Trip,PayPal,0,1,0,Halal,Aisle,11,0,5.0,3635,2558,0,1,Online,33.093277247245354,0,0
BK-10085,PAX-50987,"May 10, 2026",WEB_PORTAL,Oceanic Air,FL-347,DXB-LHR,Premium Economy,68.0,Platinum,$452.23,$54.06,$55.99, 17.67 ,$0.00,Round-Trip,Credit Card,0,1,1,None,Window,7,0,,3635,1636,0,0,Kiosk,8.061517767149061,0,1
BK-10086,PAX-50203,2026-03-06,Agency_API,Global Connect,FL-311,LAX-TYO,First Class,70.0,Silver,"$1,226.69",$51.19,$52.96,$12.39,$70.04,One-Way,Crypto,0,1,1,None,Window,11,0,3.0,3400,686,1,1,Counter,15.486479284508722,1,0
BK-10087,PAX-50489,"Jan 24, 2026", Mobile_App ,Global Connect,FL-954,DXB-LHR,Business,51.0,,"$1,240.90",$25.66,$0.00,$27.51,$89.84,Round-Trip,Credit Card,0,1,0,None,Aisle,3,0,2.0,3635,3354,0,1,Kiosk,15.109360422090962,0,1
BK-10088,PAX-50384,2026-03-12,mobile_app,Global Connect,FL-733,LAX-TYO,Premium Economy,,,$482.35,$59.09,$46.50,$42.39,$0.00,Round-Trip,Apple Pay,0,2,0,Gluten-Free,Window,66,6,4.0,3635,1750,0,0,Online,27.759116830198092,1,1
BK-10089,PAX-50564, 2026-01-01 ,mobile_app,Global Connect,FL-897,JFK-LHR,Business,,Gold,"$1,223.65",$61.92,$0.00,$0.00,$95.28,Multi-City,Crypto,0,2,1,None,Window,27,0,4.0,3451,1833,0,0,Counter,3.1122300806087893,0,0
BK-10090,PAX-50750, 2026-02-03 , Mobile_App ,Oceanic Air,FL-180,CDG-JFK,Business,31.0,Platinum,"$1,218.70",$0.00,$67.02,$0.00,$72.11,Round-Trip,Apple Pay,0,1,0,None,Window,34,0,4.0,3451,4693,0,0,Counter,21.083011158393276,0,0
BK-10091,PAX-50954,"Feb 11, 2026",web_portal,SkyWays,FL-779,DXB-LHR,Premium Economy,24.0,Silver,$497.40,$36.90,$82.97,$7.89,$0.00,One-Way,Credit Card,0,0,0,Gluten-Free,Aisle,46,13,1.0,3915,4650,0,0,Kiosk,16.4591381494858,1,0
